2025-01-30 21:41:42.912 [warning] Dir "/workspace/project-4/.pixi/envs" is not watchable (directory does not exist)
2025-01-30 21:56:03.558 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:56:12.794 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:33.862 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:40.186 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:42.919 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:47.671 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:49.178 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:50.800 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:52.450 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:57:53.923 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:05:14.143 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:05:16.063 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:05:18.514 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:05:22.326 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:05:41.169 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:05:58.654 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:06:00.246 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:06:04.263 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:08:30.973 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:11:28.779 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:13:14.588 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:13:19.515 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:18:02.321 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:18:06.967 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:18:12.948 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:18:20.260 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:18:26.584 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:20:39.125 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:20:45.063 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:21:01.311 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:21:12.540 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:21:15.045 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:23:19.321 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:23:27.389 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:23:40.710 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:23:55.934 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:25:52.453 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:25:56.423 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:03.195 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:08.858 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:14.646 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:19.506 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:24.248 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:28.887 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:35.816 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:37.203 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:44.606 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:50.722 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:26:58.697 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:27:01.309 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:27:03.397 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:27:23.131 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:30:02.315 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:10.388 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:17.202 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:19.045 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:24.754 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:36.468 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:38.524 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:40.045 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:42.469 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:47.794 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:52.877 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:30:58.808 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:31:01.521 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:31:04.656 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:31:13.089 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 22:31:48.051 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:31:58.125 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:00.167 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:07.575 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:11.656 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:14.341 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:15.595 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:20.062 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:36.268 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:37.861 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:32:49.860 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:33:03.273 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:33:10.277 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:37:45.130 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:37:56.029 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:38:04.524 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:40:16.997 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:40:21.869 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:40:33.063 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:40:40.066 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:40:41.551 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:40:48.780 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:40:53.152 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:44:50.404 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/backends.py
2025-01-30 22:44:53.482 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/backends.py
2025-01-30 22:45:31.482 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/thai_massage/settings.py
2025-01-30 22:45:36.693 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/thai_massage/settings.py
2025-01-30 22:46:53.094 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:47:01.886 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:12.368 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:20.778 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:25.174 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:32.707 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:34.014 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:47.511 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:50:49.661 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:53:48.825 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:53:53.481 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:54:09.160 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:54:13.536 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:54:18.454 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:54:23.016 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:54:32.024 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 22:54:48.941 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:54:50.869 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/urls.py
2025-01-30 22:58:33.839 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:58:38.922 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 22:59:04.372 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 23:02:52.649 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 23:03:56.499 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 23:04:13.231 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 23:06:50.825 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
2025-01-30 23:07:00.318 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/tests.py
